component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
mlp_group,0,0,4.174708010395989e-05,0.0,0,1300,full_table
mlp_group,0,1,9.699608926894143e-05,0.0,0,1300,full_table
mlp_group,0,2,0.004850467659707647,0.003460228443145752,0,1300,full_table
mlp_group,0,3,0.013621775891806465,0.003460228443145752,0,1300,full_table
mlp_group,0,4,5.073475040262565e-05,0.0,0,1300,full_table
mlp_group,0,5,0.036778294008399826,0.01038062572479248,0,1300,full_table
mlp_group,0,6,0.0003881289085256867,0.0,0,1300,full_table
mlp_group,0,7,5.343776865629479e-05,0.0,0,1300,full_table
head,1,0,0.3465157640093821,0.11418682336807251,0,1300,full_table
head,1,1,0.19304782570543466,0.05536329746246338,0,1300,full_table
head,1,2,0.31539600015821634,0.10034602880477905,0,1300,full_table
head,1,3,0.461920012246992,0.12110728025436401,0,1300,full_table
mlp_group,1,0,3.878016286762431e-05,0.0,0,1300,full_table
mlp_group,1,1,3.920651943190023e-05,0.0,0,1300,full_table
mlp_group,1,2,0.00010018335160566494,0.0,0,1300,full_table
mlp_group,1,3,8.095950033748522e-05,0.0,0,1300,full_table
mlp_group,1,4,0.00010338117863284424,0.0,0,1300,full_table
mlp_group,1,5,8.946439629653469e-05,0.0,0,1300,full_table
mlp_group,1,6,7.27553924662061e-05,0.0,0,1300,full_table
mlp_group,1,7,4.615217767423019e-05,0.0,0,1300,full_table
head,0,0,1.370955273108848,0.32179927825927734,0,1400,full_table
head,0,1,1.412964149909385,0.31141871213912964,0,1400,full_table
head,0,2,0.7744133319429238,0.21107268333435059,0,1400,full_table
head,0,3,1.353264614539512,0.29411762952804565,0,1400,full_table
mlp_group,0,0,3.8219019188545644e-05,0.0,0,1400,full_table
mlp_group,0,1,9.010513167595491e-05,0.0,0,1400,full_table
mlp_group,0,2,0.005292736525007058,0.003460228443145752,0,1400,full_table
mlp_group,0,3,0.014327906603284646,0.003460228443145752,0,1400,full_table
mlp_group,0,4,4.7134111810009927e-05,0.0,0,1400,full_table
mlp_group,0,5,0.03955817555106478,0.01038062572479248,0,1400,full_table
mlp_group,0,6,0.00037979504122631624,0.0,0,1400,full_table
mlp_group,0,7,4.887999239144847e-05,0.0,0,1400,full_table
head,1,0,0.3519425537160714,0.11072665452957153,0,1400,full_table
head,1,1,0.19578082819498377,0.05536329746246338,0,1400,full_table
head,1,2,0.3226968791059335,0.1038062572479248,0,1400,full_table
head,1,3,0.4712297167352517,0.12456744909286499,0,1400,full_table
mlp_group,1,0,3.5265853512100875e-05,0.0,0,1400,full_table
